"SenderMapped","SenderOriginal","Day","Date","Time","Subject","DD","MM","YYYY","hh","mm","ss","Level2"
"Dean SA","Office Dean SA","Wed",2011-11-23,"11:19:00","[Student-notices] [Fwd: Invitation for IIT-B students to represent India in the ALL- ASIA SCIENCE OLYMPIAD - PsiFi 2012]",23,11,2011,"11","19","00","Deans"
"Dean SA","Office Dean SA","Wed",2014-04-23,"16:32:09","[Student-notices] Gymkhana Faicilities will Remain closed on 24th	April 2014",23,4,2014,"16","32","09","Deans"
"Dean SA","Office Dean SA","Thu",2011-01-27,"14:01:05","[Student-notices] Weightlifting/Bodybuilding camp",27,1,2011,"14","01","05","Deans"
"Dean SA","Office Dean SA","Fri",2010-03-12,"12:51:40","[Student-notices] PG Cult & Sports Night",12,3,2010,"12","51","40","Deans"
"Dean SA","Office Dean SA","Thu",2012-12-20,"10:58:36","[Student-notices] Mood Indigo 2012 - Welcoming all",20,12,2012,"10","58","36","Deans"
"Dean SA","Office Dean SA","Thu",2012-01-05,"10:30:22","[Student-notices] Techfest 2012: 6-8 January, 2012",5,1,2012,"10","30","22","Deans"
"Dean SA","Office Dean SA","Fri",2011-09-23,"13:21:33","[Student-notices] [Fwd: Techfest Nexus, IIT Bombay Chapter]",23,9,2011,"13","21","33","Deans"
"Dean SA","Dean Students Affairs","Wed",2009-09-30,"13:13:34","[Student-notices] [Fwd: An Interactive session with Girish Gaitonde]",30,9,2009,"13","13","34","Deans"
"Dean SA","Office Dean SA","Mon",2013-11-04,"11:41:52","[Student-notices] Gymkhana facility closed on Tuesday",4,11,2013,"11","41","52","Deans"
"Dean SA","Dean Student Affairs","Thu",2014-12-25,"21:47:43","[Student-notices] Mood Indigo inaugural Pt Rupak Kulakarni tomorrow	7:30 am",25,12,2014,"21","47","43","Deans"
"Dean SA","Office Dean SA","Thu",2014-10-16,"12:22:02","[Student-notices] TheatreFest Day 3 Play: ""Bade Miyan Deewane"" | Today | 7:30 PM | Convocation Hall",16,10,2014,"12","22","02","Deans"
"Dean SA","Office Dean SA","Fri",2014-01-24,"17:01:30","[Student-notices] Virtual Stock Market by Entrepreneurship Cell || 24, 25 & 26 January 2014",24,1,2014,"17","01","30","Deans"
"Dean SA","Office Dean SA","Wed",2015-08-12,"12:48:08","[Student-notices] Lock Hostel Terrace",12,8,2015,"12","48","08","Deans"
"Dean SA","Office Dean SA","Fri",2014-10-10,"16:59:14","[Student-notices] Reminder | Segreta - The Online Crypt Hunt by Techfest starts at 6PM Today",10,10,2014,"16","59","14","Deans"
"Dean SA","Office Dean SA","Thu",2016-03-31,"18:14:18","[Student-notices] Stress Management Workshop for PhD Students",31,3,2016,"18","14","18","Deans"
"Dean SA","Dean Students Affairs","Tue",2010-03-09,"20:58:54","[Student-notices] [Fwd: **Correction**: Changes in Election	Candidate manifestos]",9,3,2010,"20","58","54","Deans"
"Dean SA","Dean Students Affairs","Fri",2009-11-06,"16:51:08","[Student-notices] (no subject)",6,11,2009,"16","51","08","Deans"
"Dean SA","Dean Students Affairs","Sun",2009-08-09,"13:09:40","[Student-notices] Fwd: information pertaining to swine flu",9,8,2009,"13","09","40","Deans"
"Dean SA","Office Dean SA","Mon",2013-10-21,"15:45:26","[Student-notices] Avenues Nite",21,10,2013,"15","45","26","Deans"
"Dean SA","Office Dean SA","Fri",2014-10-10,"16:07:23","[Student-notices] (Certified) FAST TRACK COURSE ON ENTREPRENEURSHIP | E-CELL, IIT BOMBAY",10,10,2014,"16","07","23","Deans"
"Dean SA","Office Dean SA","Thu",2010-01-07,"17:14:28","[Student-notices] ""Ultimate Frisbee"" Trainig Camp",7,1,2010,"17","14","28","Deans"
"Dean SA","Office Dean SA","Tue",2014-10-14,"16:48:07","[Student-notices] Swimming Pool remain closed on 15th October, 2014",14,10,2014,"16","48","07","Deans"
"Dean SA","Dean Students Affairs","Thu",2012-03-15,"13:20:41","[Student-notices] [Fwd: Organizational Awards 2012]",15,3,2012,"13","20","41","Deans"
"Dean SA","Office Dean SA","Tue",2013-01-01,"17:55:57","[Student-notices] Entry Policy and General Rules for Techfest 2013",1,1,2013,"17","55","57","Deans"
"Dean SA","Dean Student Affairs","Fri",2014-05-09,"10:01:29","[Student-notices] tum tum problems",9,5,2014,"10","01","29","Deans"
"Dean SA","Office Dean SA","Tue",2014-10-14,"12:05:37","[Student-notices] Invitation for TheatreFest 2014 | Today |	Convocation Hall | 7:30PM",14,10,2014,"12","05","37","Deans"
"Dean SA","Office Dean SA","Fri",2010-03-05,"17:12:40","[Student-notices] [Fwd: scanned copy of the circular]",5,3,2010,"17","12","40","Deans"
"Dean SA","Dean Student Affairs","Fri",2014-09-05,"1:07:35","[Student-notices] Badminton Hall Closed notice",5,9,2014,"1","07","35","Deans"
"Dean SA","Dean Student Affairs","Fri",2015-12-25,"19:26:02","[Student-notices] Sound Monitoning Committee for TechFest 2015",25,12,2015,"19","26","02","Deans"
"Dean SA","Office Dean SA","Fri",2011-11-11,"11:52:32","[Student-notices] Talk by the Vice-President and CTO of Amazon.com, Dr. Werner Vogels, Today!]",11,11,2011,"11","52","32","Deans"
"Dean SA","Office Dean SA","Thu",2009-10-29,"13:25:39","[Student-notices] Institute Cultural Night, today (29th Oct) : Performances by Mohit Chauhan and Bhupinder & Mitali Singh",29,10,2009,"13","25","39","Deans"
"Dean SA","Dean Students Affairs","Wed",2009-11-18,"9:25:20","[Student-notices] [Fwd: FW: Sleep and Heart Attacks]",18,11,2009,"9","25","20","Deans"
"Dean SA","Office Dean SA","Mon",2011-08-01,"14:49:13","[Student-notices] [Fwd: Brewberrys Cafe in Hostel-8 premises -	Opening Today]",1,8,2011,"14","49","13","Deans"
"Dean SA","Dean Students Affairs","Tue",2011-01-18,"9:23:14","[Student-notices] [Fwd: Re: Reminder on Rules and Guidelines]",18,1,2011,"9","23","14","Deans"
"Dean SA","Dean Students Affairs","Sat",2010-07-17,"10:12:04","[Student-notices] URGENT  [Fwd: Last Call: for Student Notices]",17,7,2010,"10","12","04","Deans"
"Dean SA","Dean Students Affairs","Thu",2013-05-09,"8:45:01","[Student-notices] Shortage of Drivers",9,5,2013,"8","45","01","Deans"
"Dean SA","Office Dean SA","Fri",2011-04-01,"15:50:22","[Student-notices] Possession of I-Card",1,4,2011,"15","50","22","Deans"
"Dean SA","Office Dean SA","Mon",2015-08-24,"18:35:36","[Student-notices] Stress Management Workshop August",24,8,2015,"18","35","36","Deans"
"Dean SA","Office Dean SA","Fri",2012-03-30,"16:21:07","[Student-notices] SAMSUNG INNOVATION AWARD : Launch Session on April 3, 2012 - Prize money worth Rs 1.5 lakh/Team for best 3 teams]",30,3,2012,"16","21","07","Deans"
"Dean SA","Office Dean SA","Fri",2013-10-25,"16:28:47","[Student-notices] Enspace: ECell magazine",25,10,2013,"16","28","47","Deans"
"Dean SA","Office Dean SA","Mon",2014-11-10,"18:33:24","[Student-notices] SAC Squash Court is Closed for Renovation",10,11,2014,"18","33","24","Deans"
"Dean SA","Office Dean SA","Fri",2013-01-18,"17:39:23","[Student-notices] Transprt facility for Mumbai Marathon",18,1,2013,"17","39","23","Deans"
"Dean SA","Office Dean SA","Mon",2014-05-05,"16:43:32","[Student-notices] Availabiltiy of Student Counselor at Hostels",5,5,2014,"16","43","32","Deans"
"Dean SA","Office Dean SA","Tue",2011-03-01,"16:23:29","[Student-notices] Reminder: Institute General Body Meeting Phase IV",1,3,2011,"16","23","29","Deans"
"Dean SA","Office Dean SA","Fri",2015-01-30,"14:21:36","[Student-notices] Invitation to attend The Entrepreneurship Summit	2015",30,1,2015,"14","21","36","Deans"
"Dean SA","Office Dean SA","Fri",2014-01-03,"17:05:34","[Student-notices] Panel Discussion- Ingredients of Innovation",3,1,2014,"17","05","34","Deans"
"Dean SA","Office Dean SA","Wed",2014-04-02,"14:35:00","[Student-notices] JENESYS 2.0 Short-term Invitation Programme in	Japan",2,4,2014,"14","35","00","Deans"
"Dean SA","Office Dean SA","Tue",2011-04-19,"17:07:08","[Student-notices] [Fwd: Call for Contributors to IITB's Entrepreneurship magazine ""EnSpace""]",19,4,2011,"17","07","08","Deans"
"Dean SA","Office Dean SA","Thu",2013-10-24,"12:49:07","[Student-notices] Alankar - Distinguished Leaders at Avenues 2013",24,10,2013,"12","49","07","Deans"
"Dean SA","Office Dean SA","Wed",2014-10-01,"16:56:40","[Student-notices] 50th Anjali - A Tribute to Gandhiji | 2nd October, Gandhi Jayanthi | 9:15 AM | VMCC Foyer, 2nd floor",1,10,2014,"16","56","40","Deans"
"Dean SA","Office Dean SA","Fri",2014-08-08,"17:38:41","[Student-notices] Product Showcase + Bootcamp Launch by E-Cell,	IIT Bombay",8,8,2014,"17","38","41","Deans"
"Dean SA","Office Dean SA","Wed",2012-01-18,"17:33:25","[Student-notices] The Entrepreneurship Summit: 28th & 29th January,	2012",18,1,2012,"17","33","25","Deans"
"Dean SA","Office Dean SA","Wed",2013-11-27,"16:41:37","[Student-notices] Latest InsIghT Flagship Edition: Online readable	interface",27,11,2013,"16","41","37","Deans"
"Dean SA","Office Dean SA","Thu",2013-10-10,"12:46:52","[Student-notices] Session on ""How can IITB help you in starting up?""",10,10,2013,"12","46","52","Deans"
"Dean SA","Office Dean SA","Fri",2014-01-24,"15:41:35","[Student-notices] A talk on 'Eat Healthy, Live Healthy",24,1,2014,"15","41","35","Deans"
"Dean SA","Office Dean SA","Fri",2009-11-06,"15:04:19","[Student-notices] [Fwd: Screening Of a football match]",6,11,2009,"15","04","19","Deans"
"Dean SA","Dean Student Affairs","Sun",2015-05-10,"18:48:22","[Student-notices] Farewell",10,5,2015,"18","48","22","Deans"
"Dean SA","Office Dean SA","Mon",2013-10-21,"15:47:34","[Student-notices] The First Pitch | Opportunity to get into Eureka	Semifinals",21,10,2013,"15","47","34","Deans"
"Dean SA","Dean Students Affairs","Thu",2011-09-01,"19:03:17","[Student-notices] [Fwd: Update on Vaccinations]",1,9,2011,"19","03","17","Deans"
"Dean SA","Office Dean SA","Tue",2014-03-18,"15:00:36","[Student-notices] Invitation to Tinkerers' lab inauguration phase II",18,3,2014,"15","00","36","Deans"
"Dean SA","Dean Students Affairs","Fri",2011-08-05,"12:49:28","[Student-notices] [Fwd: Nuclear Power - A blessing or a curse || SATURDAY 2:30 PM onwards || FC Kohli Auditorium]",5,8,2011,"12","49","28","Deans"
"Dean SA","Office Dean SA","Tue",2011-10-18,"12:36:16","[Student-notices] Submission Deadline for Standard Chartered IIT Bombay Challenge extended to 4th November]",18,10,2011,"12","36","16","Deans"
"Dean SA","Dean Students Affairs","Thu",2011-01-06,"18:31:44","[Student-notices] [Fwd: pool closed from Friday to Sunday(7Th to	9Th Jan.2011)",6,1,2011,"18","31","44","Deans"
"Dean SA","Office Dean SA","Fri",2010-10-22,"16:40:14","[Student-notices] Energy GC mail to be sent on Student Notices]",22,10,2010,"16","40","14","Deans"
"Dean SA","Office Dean SA","Fri",2011-04-08,"10:50:25","[Student-notices] Fwd: DEW Orientation Programme...to be mailed to	Dean SA",8,4,2011,"10","50","25","Deans"
"Dean SA","Office Dean SA","Tue",2012-04-03,"12:25:12","[Student-notices] [Fwd: Re: swimathon results]",3,4,2012,"12","25","12","Deans"
"Dean SA","Dean Students Affairs","Tue",2010-07-20,"14:51:50","[Student-notices] [Fwd: Vanamahotsava 2010]",20,7,2010,"14","51","50","Deans"
"Dean SA","Office Dean SA","Mon",2012-05-07,"14:17:48","[Student-notices] E-Cell - ""the Bean Bag series by AWS'",7,5,2012,"14","17","48","Deans"
"Dean SA","Office Dean SA","Tue",2015-08-11,"16:17:02","[Student-notices] Security  Guidelines",11,8,2015,"16","17","02","Deans"
"Dean SA","Dean Student Affairs","Fri",2014-08-29,"15:09:25","[Student-notices] Smart City Challenge by Techfest 2015",29,8,2014,"15","09","25","Deans"
"Dean SA","Office Dean SA","Fri",2011-08-12,"13:08:49","[Student-notices] [Fwd: pool closed on Saturday and Monday(13Th	&15Th Aug.)]",12,8,2011,"13","08","49","Deans"
"Dean SA","Office Dean SA","Thu",2010-10-21,"11:45:34","[Student-notices] Inter-IIT Hockey Team Trial",21,10,2010,"11","45","34","Deans"
"Dean SA","Office Dean SA","Mon",2012-04-02,"15:40:27","[Student-notices] SAMSUNG INNOVATION AWARD : Launch Session on April 3, 2012 - Prize money worth Rs 1.5 lakh/Team for best 3 teams",2,4,2012,"15","40","27","Deans"
"Dean SA","Dean Students Affairs","Mon",2011-10-10,"22:15:56","[Student-notices] [Fwd: Call for Nominations : NSS Web designer	2011-12]",10,10,2011,"22","15","56","Deans"
"Dean SA","Office Dean SA","Mon",2016-01-25,"17:04:30","[Student-notices] Gymkhana facilities will remain closed on	26/01/2016",25,1,2016,"17","04","30","Deans"
"Dean SA","Office Dean SA","Mon",2016-02-29,"18:41:56","[Student-notices] Stress Management Workshop for PhD students",29,2,2016,"18","41","56","Deans"
"Dean SA","Office Dean SA","Tue",2015-02-24,"12:30:33","[Student-notices] Student Excellence Programme (Award)",24,2,2015,"12","30","33","Deans"
"Dean SA","Office Dean SA","Fri",2011-01-28,"12:16:02","[Student-notices] IFL Registrations",28,1,2011,"12","16","02","Deans"
"Dean SA","Office Dean SA","Fri",2013-10-25,"18:10:30","[Student-notices] Entry Restriction to SAC on 26th",25,10,2013,"18","10","30","Deans"
"Dean SA","Office Dean SA","Thu",2011-01-13,"16:38:08","[Student-notices] Business Mentoring Hub at E-Summit 2011",13,1,2011,"16","38","08","Deans"
"Dean SA","Office Dean SA","Tue",2009-10-27,"15:14:20","[Student-notices] [Fwd: INTER-IIT TRIALS FOR HOCKEY]",27,10,2009,"15","14","20","Deans"
"Dean SA","Dean Student Affairs","Tue",2015-02-10,"9:58:40","[Student-notices] Disciplinary action for hostel rule violations",10,2,2015,"9","58","40","Deans"
"Dean SA","Office Dean SA","Fri",2014-09-19,"10:48:50","[Student-notices] Mood Indigo All Team Meet",19,9,2014,"10","48","50","Deans"
"Dean SA","Office Dean SA","Fri",2014-11-21,"15:41:21","[Student-notices] Pre-admission compulsory Vaccination for Students",21,11,2014,"15","41","21","Deans"
"Dean SA","Dean Students Affairs","Mon",2010-04-05,"9:40:33","[Student-notices] [Fwd: Help needed]",5,4,2010,"9","40","33","Deans"
"Dean SA","Office Dean SA","Wed",2011-03-30,"10:40:03","[Student-notices] DEW @ IITB",30,3,2011,"10","40","03","Deans"
"Dean SA","Dean Student Affairs","Thu",2016-04-28,"15:45:38","[Student-notices] Student feedback for Institute Vision and Mission",28,4,2016,"15","45","38","Deans"
"Dean SA","Office Dean SA","Fri",2011-08-19,"16:34:41","[Student-notices] [Fwd: inter-IIT Cricket Trials]",19,8,2011,"16","34","41","Deans"
"Dean SA","Office Dean SA","Wed",2012-02-29,"11:10:45","[Student-notices] Session on Student and work visas to the US by US	consulate General",29,2,2012,"11","10","45","Deans"
"Dean SA","Office Dean SA","Thu",2013-10-03,"12:46:31","[Student-notices] Fast Track Course on Entrepreneurship | 5th Oct | LCH11 | 1 PM to 7PM",3,10,2013,"12","46","31","Deans"
"Dean SA","Office Dean SA","Fri",2012-03-16,"16:08:50","[Student-notices] Call for nominations for the post of Chief	Editors of Aawaaz",16,3,2012,"16","08","50","Deans"
"Dean SA","Office Dean SA","Fri",2012-03-16,"15:20:23","[Student-notices] Institute Tennis Championship (ITC)",16,3,2012,"15","20","23","Deans"
"Dean SA","Dean Student Affairs","Sat",2014-10-11,"9:56:33","[Student-notices] Wellness and Care @ IITB",11,10,2014,"9","56","33","Deans"
"Dean SA","Office Dean SA","Wed",2015-07-22,"12:52:24","[Student-notices] Prevention of snake bite",22,7,2015,"12","52","24","Deans"
"Dean SA","Office Dean SA","Tue",2011-06-21,"17:30:15","[Student-notices] Visiting Researcher on Sports Management]",21,6,2011,"17","30","15","Deans"
"Dean SA","Office Dean SA","Sat",2013-01-05,"11:27:40","[Student-notices] Techfest 2013: Regarding Amartya Sen's Lecture",5,1,2013,"11","27","40","Deans"
"Dean SA","Dean Students Affairs","Fri",2011-02-25,"15:49:09","[Student-notices] [Fwd: Lost Wallet]",25,2,2011,"15","49","09","Deans"
"Dean SA","Office Dean SA","Fri",2010-02-19,"17:20:08","[Student-notices] [Fwd: Alumni Secy Post To be Elected]",19,2,2010,"17","20","08","Deans"
"Dean SA","Office Dean SA","Thu",2011-02-03,"9:48:47","[Student-notices] E-Garage & E-Summit present International Workshop on Business Modelling]",3,2,2011,"9","48","47","Deans"
"Dean SA","Office Dean SA","Tue",2012-03-06,"17:08:35","[Student-notices] [Fwd: UMIC summer ""Innovation"" projects]",6,3,2012,"17","08","35","Deans"
"Dean SA","Office Dean SA","Tue",2011-10-18,"15:10:47","[Student-notices] Missing of office Bag",18,10,2011,"15","10","47","Deans"
"Dean SA","Office Dean SA","Thu",2010-01-07,"17:14:48","[Student-notices] [Fwd: IIT Kanpur Technical Festival]",7,1,2010,"17","14","48","Deans"
"Dean SA","Office Dean SA","Fri",2011-03-25,"13:36:52","[Student-notices] Performing Arts Festival",25,3,2011,"13","36","52","Deans"
"Dean SA","Office Dean SA","Tue",2014-10-07,"16:40:59","[Student-notices] Badminton Hall Closed notice",7,10,2014,"16","40","59","Deans"
"Dean SA","Office Dean SA","Mon",2009-03-30,"13:24:40","[Student-notices] [Fwd: PAF cum Awards Concert Tonight]",30,3,2009,"13","24","40","Deans"
"Dean SA","Dean Student Affairs","Mon",2016-04-25,"10:20:00","[Student-notices] Financial Aid Program at IIT Bombay from IITB	Alumni Association",25,4,2016,"10","20","00","Deans"
"Dean SA","Office Dean SA","Wed",2010-10-06,"17:12:21","[Student-notices] URGENT: Entrepreneurship session with research scholars. (12 October 2010 - TUE)]",6,10,2010,"17","12","21","Deans"
"Dean SA","Dean Students Affairs","Wed",2013-10-30,"15:59:33","[Student-notices] Punishment for addictive and banned substances",30,10,2013,"15","59","33","Deans"
"Dean SA","Office Dean SA","Tue",2013-04-09,"18:14:35","[Student-notices] [Fwd: Annual 29 Th summer swimming coaching	camps-2013.]",9,4,2013,"18","14","35","Deans"
"Dean SA","Office Dean SA","Fri",2014-02-07,"16:22:32","[Student-notices] Nomination for the post of Manager, The Entrepreneurship cell 2014-15",7,2,2014,"16","22","32","Deans"
"Dean SA","Office Dean SA","Tue",2010-04-13,"16:20:57","[Student-notices] Gymkhana and swimming pool",13,4,2010,"16","20","57","Deans"
"Dean SA","Office Dean SA","Mon",2010-06-14,"15:32:26","[Student-notices] [Fwd: Football World Cup Telecast (14th June)]",14,6,2010,"15","32","26","Deans"
"Dean SA","Office Dean SA","Tue",2012-06-12,"11:58:05","[Student-notices] Techfest 2013, IIT Bombay and The London International Youth Science Forum",12,6,2012,"11","58","05","Deans"
"Dean SA","Office Dean SA","Wed",2012-02-15,"15:28:38","[Student-notices] Delta Games (TechnoHoli) Orientation Today at 9pm	Mechanical Dept]",15,2,2012,"15","28","38","Deans"
"Dean SA","Dean Students Affairs","Wed",2009-07-29,"11:17:35","[Student-notices] [Fwd: CFP of Boeing Student Design Project 09: to be fwded to all students @ IITB]",29,7,2009,"11","17","35","Deans"
"Dean SA","Office Dean SA","Mon",2011-02-14,"17:16:12","[Student-notices] General Body Meeting - Institute HA and Cult	Council",14,2,2011,"17","16","12","Deans"
"Dean SA","Dean Students Affairs","Fri",2011-04-01,"18:43:50","[Student-notices] Screeening of WORLD CUP FINAL",1,4,2011,"18","43","50","Deans"
"Dean SA","Dean Student Affairs","Wed",2014-08-27,"23:45:54","[Student-notices] special offer from HP for laptops",27,8,2014,"23","45","54","Deans"
"Dean SA","Office Dean SA","Wed",2010-04-07,"17:55:42","[Student-notices] [Fwd: NOMINATIONS FOR SPORTS COUNCIL]",7,4,2010,"17","55","42","Deans"
"Dean SA","Office Dean SA","Fri",2013-03-15,"16:44:25","[Student-notices] Fwd: Shutting Down Of Gymkhana Facilities by 10PM",15,3,2013,"16","44","25","Deans"
"Dean SA","Office Dean SA","Wed",2014-03-19,"20:06:56","[Student-notices] Company Theatre's Piya Behroopiya on 24th March	2014",19,3,2014,"20","06","56","Deans"
"Dean SA","Office Dean SA","Fri",2010-08-13,"17:28:38","[Student-notices] [Fwd: India Unmute]",13,8,2010,"17","28","38","Deans"
"Dean SA","Office Dean SA","Wed",2014-03-19,"17:26:28","[Student-notices] QPRIZE- Qualcomm Ventures Seed Funding Competition",19,3,2014,"17","26","28","Deans"
"Dean SA","Dean Students Affairs","Fri",2010-10-01,"9:45:50","[Student-notices] Fwd: Essay competition prize announcement @ Anjali",1,10,2010,"9","45","50","Deans"
"Dean SA","Office Dean SA","Thu",2014-12-11,"16:55:00","[Student-notices] Swimming pool closed for members on 12th Decembar-2014 (Afternoon session)",11,12,2014,"16","55","00","Deans"
"Dean SA","Office Dean SA","Fri",2010-03-12,"12:52:01","[Student-notices] [Fwd: PG Cult Night]",12,3,2010,"12","52","01","Deans"
"Dean SA","Office Dean SA","Tue",2011-08-09,"18:39:58","[Student-notices] [Fwd: Session on Power to Empower - Enterprise Plan Competition - 11th August 2011 at 6.00 pm at IRCC auditorium]",9,8,2011,"18","39","58","Deans"
"Dean SA","Dean Students Affairs","Mon",2009-12-21,"12:09:21","[Student-notices] MI Gate Opening and Schedule change notice",21,12,2009,"12","09","21","Deans"
"Dean SA","Office Dean SA","Fri",2011-03-11,"16:46:36","[Student-notices] PG Nite",11,3,2011,"16","46","36","Deans"
"Dean SA","Office Dean SA","Thu",2011-09-22,"18:35:37","[Student-notices] [Fwd: PG Squash Open Event]",22,9,2011,"18","35","37","Deans"
"Dean SA","Dean Students Affairs","Sat",2012-10-20,"15:04:08","[Student-notices] IIT Bombay Theater Fest 2012 - 29-31st October",20,10,2012,"15","04","08","Deans"
"Dean SA","Office Dean SA","Wed",2012-06-27,"11:38:52","[Student-notices] [Fwd: Ladies Physical Fitness Sessions]",27,6,2012,"11","38","52","Deans"
"Dean SA","Office Dean SA","Fri",2016-02-05,"17:32:47","[Student-notices] Nomination for the post of Manager, The Entrepreneurship cell 2016-17",5,2,2016,"17","32","47","Deans"
"Dean SA","Office Dean SA","Fri",2016-04-01,"12:31:31","[Student-notices] Annual 32nd Summer Swimming Coaching Camps - 2016",1,4,2016,"12","31","31","Deans"
"Dean SA","Dean Students Affairs","Fri",2013-01-25,"10:37:27","[Student-notices] InsIghT's print issue 15.2",25,1,2013,"10","37","27","Deans"
"Dean SA","Office Dean SA","Mon",2011-01-24,"17:47:23","[Student-notices] iWeekend - Idea to Biz Plan in 48 Hours in E	Summit",24,1,2011,"17","47","23","Deans"
"Dean SA","Dean Student Affairs","Thu",2015-12-17,"15:00:19","[Student-notices] Rules and Regulations for Mood Indogo Pronites	Concert entry",17,12,2015,"15","00","19","Deans"
"Dean SA","Office Dean SA","Tue",2011-08-16,"14:59:03","[Student-notices] [Fwd: Inter IIT Basketball Selection Trials]",16,8,2011,"14","59","03","Deans"
"Dean SA","Office Dean SA","Thu",2014-02-27,"18:06:57","[Student-notices] STAB Tech Weekend",27,2,2014,"18","06","57","Deans"
"Dean SA","Office Dean SA","Fri",2014-01-31,"14:50:33","[Student-notices] Physical fitness programme for IIT students &	Project staff",31,1,2014,"14","50","33","Deans"
"Dean SA","Office Dean SA","Mon",2013-08-05,"15:51:44","[Student-notices] Questions by students for Dean (Infra, Planning and Support) video interview by InsIghT",5,8,2013,"15","51","44","Deans"
"Dean SA","Office Dean SA","Mon",2012-05-21,"16:47:34","[Student-notices] E-Cell and Yourstory organizing TechSparks	workshop]",21,5,2012,"16","47","34","Deans"
"Dean SA","Office Dean SA","Wed",2014-01-08,"16:51:23","[Student-notices] The Entrepreneurship Cell All Team Meet",8,1,2014,"16","51","23","Deans"
"Dean SA","Dean Students Affairs","Tue",2009-12-01,"18:30:02","[Student-notices] [Fwd: Here it is]",1,12,2009,"18","30","02","Deans"
"Dean SA","Office Dean SA","Mon",2010-03-08,"16:03:34","[Student-notices] [Fwd: Sports Camps]",8,3,2010,"16","03","34","Deans"
"Dean SA","Office Dean SA","Fri",2012-10-05,"17:40:05","[Student-notices] sents Eureka! 12,	- HURRY Last date of registration - 8th October]",5,10,2012,"17","40","05","Deans"
"Dean SA","Office Dean SA","Wed",2010-08-04,"16:01:22","[Student-notices] [Fwd: Squash court in operation]",4,8,2010,"16","01","22","Deans"
"Dean SA","Office Dean SA","Tue",2012-08-28,"10:51:17","[Student-notices] Fwd: India Innovation Initiative i3 - 2012 - for those seeking funding etc.",28,8,2012,"10","51","17","Deans"
"Dean SA","Dean Students Affairs","Tue",2009-11-24,"14:43:38","[Student-notices] [Fwd: IBM CEO Student Survey]",24,11,2009,"14","43","38","Deans"
"Dean SA","Office Dean SA","Mon",2014-11-03,"18:57:19","[Student-notices] E-cell Operations and Design Coordinators All Team meet on 5th November 6.00 pm",3,11,2014,"18","57","19","Deans"
"Dean SA","Dean Students Affairs","Fri",2011-08-12,"12:28:04","[Student-notices] [Fwd: pool closed on Saturday and Monday(13Th	&15Th Aug.)]",12,8,2011,"12","28","04","Deans"
"Dean SA","Office Dean SA","Tue",2013-03-26,"17:48:28","[Student-notices] [Fwd: Gym. Facilities closed for Holi]",26,3,2013,"17","48","28","Deans"
"Dean SA","Dean Students Affairs","Wed",2012-07-25,"19:17:20","[Student-notices] Fwd: Additional Campus Transport Service.",25,7,2012,"19","17","20","Deans"
"Dean SA","Dean Student Affairs","Tue",2014-07-29,"12:11:12","[Student-notices] Preventing violations of Hostel rules",29,7,2014,"12","11","12","Deans"
"Dean SA","Office Dean SA","Wed",2014-01-29,"11:01:17","[Student-notices] Venue Changed- A talk on 'Eat Healthy,	Live Healthy",29,1,2014,"11","01","17","Deans"
"Dean SA","Office Dean SA","Mon",2012-02-06,"15:07:45","[Student-notices] Nominations for E-Cell Core Team",6,2,2012,"15","07","45","Deans"
"Dean SA","Office Dean SA","Fri",2012-10-12,"12:12:17","[Student-notices] Techfest Launches Segreta- World Challenge]",12,10,2012,"12","12","17","Deans"
"Dean SA","Office Dean SA","Thu",2012-04-26,"15:31:13","[Student-notices] [Fwd: Camp intimation]",26,4,2012,"15","31","13","Deans"
"Dean SA","Office Dean SA","Tue",2009-03-17,"18:20:44","[Student-notices] Student - Faculty Panel Discussion",17,3,2009,"18","20","44","Deans"
"Dean SA","Dean Students Affairs","Tue",2010-03-16,"15:45:20","[Student-notices] [Fwd: Vaccination Camp on Wednesday]",16,3,2010,"15","45","20","Deans"
"Dean SA","Office Dean SA","Wed",2009-08-26,"17:36:28","[Student-notices] [Fwd: PG Cult and Sports Orientation]",26,8,2009,"17","36","28","Deans"
"Dean SA","Office Dean SA","Fri",2013-04-19,"15:26:18","[Student-notices] IITB Staff Cricket Competion",19,4,2013,"15","26","18","Deans"
"Dean SA","Office Dean SA","Mon",2013-10-14,"17:28:03","[Student-notices] InsIghT & IITBBC All Team Meet",14,10,2013,"17","28","03","Deans"
"Dean SA","Dean Students Affairs","Wed",2010-11-03,"21:04:52","[Student-notices] [Fwd: Opening of North Indian Cuisine point	(Dhaba) near H1]",3,11,2010,"21","04","52","Deans"
"Dean SA","Office Dean SA","Fri",2011-12-16,"16:12:41","[Student-notices] [Fwd: Entry for Pronites]",16,12,2011,"16","12","41","Deans"
"Dean SA","Dean Student Affairs","Thu",2014-09-04,"9:06:35","[Student-notices] Helpdesk for special offer from HP for laptops",4,9,2014,"9","06","35","Deans"
"Dean SA","Office Dean SA","Tue",2011-03-01,"16:24:27","[Student-notices] [Fwd: PAN card camp in the institute]",1,3,2011,"16","24","27","Deans"
"Dean SA","Office Dean SA","Fri",2013-09-20,"15:34:33","[Student-notices] E-Cell : Certified Business Plan Workshop | 22nd	September]",20,9,2013,"15","34","33","Deans"
"Dean SA","Office Dean SA","Wed",2012-10-03,"17:51:34","[Student-notices] E-Cell IIT B - Funding and finance for start-ups",3,10,2012,"17","51","34","Deans"
