SenderOriginal,SenderMapped,Day,Date,Time,Year,Subject
GS Sports,GS Sports,Thu,24-Sep,12:30:21,2015,"[Student-notices] Registrations Extended || Mixed Martial Arts	(MMA) Classes"
GS Sports,GS Sports,Thu,24-Sep,12:17:43,2015,[Student-notices] Court Booking | PG Badminton GC
General Secretary Hostel Affairs,GSHA,Wed,23-Sep,21:33:24,2015,[Student-notices] Blood cancer awareness | Call for volunteers
Security Officer,CSO,Wed,23-Sep,16:36:09,2015,[Student-notices] Lost and Found-Pendrive  and memory card
PRO IIT Bombay,PRO,Wed,23-Sep,12:32:11,2015,"[Student-notices] Invite: Institute Colloquium on October 13, 2015."
Office of Dean International Relations,Dean IR,Wed,23-Sep,11:28:11,2015,"[Student-notices] On-spot reg. at 5:00 PM on 24th - Invitation: Japan Higher Education Information Day, 24th September, 2015"
STAB Overall Coordinator,GS Tech,Tue,22-Sep,23:45:31,2015,"[Student-notices] IITB Tech & RnD Exposition 2015: Celebrate	Engineering"
General Secretary Hostel Affairs,GSHA,Tue,22-Sep,23:14:02,2015,[Student-notices] Gentle Reminder | Credit Education Workshop
General Secretary Hostel Affairs,GSHA,Tue,22-Sep,23:09:36,2015,[Student-notices] French Movie Screening
General Secretary Hostel Affairs,GSHA,Tue,22-Sep,14:29:40,2015,"[Student-notices] Mood Indigo All Team Meet | 8:30 PM | Convocation	Hall"
Office Dean Academic,Dean Acad,Tue,22-Sep,11:38:12,2015,[Student-notices] Extend date of scholarship for Top class Education for Students with Disabilities
Office Dean Academic,Dean Acad,Tue,22-Sep,10:30:48,2015,[Student-notices] Narotam Sekhsaria Foundation Scholarships
STAB Overall Coordinator,GS Tech,Tue,22-Sep,10:04:05,2015,"[Student-notices] Tinkerers' Lab Engineering Talks: Materials that	defend"
PRO IIT Bombay,PRO,Tue,22-Sep,9:57:33,2015,[Student-notices] Reminder - Professor C.N.R. Rao Lecture Series on Nanoscience and Nanotechnology
GS Sports,GS Sports,Tue,22-Sep,4:04:10,2015,[Student-notices] Mixed Martial Arts (MMA) Classes
General Secretary Academic Affairs  PG,GSAA PG,Tue,22-Sep,3:11:04,2015,"[Student-notices] Inviting all Student Explorers: Tech & RnD	Exposition 2015"
Shubham Goyal,GSAA,Tue,22-Sep,1:24:43,2015,[Student-notices] Career Cell: Session Announcements
"General Secretary, Cultural Affairs",GS Cult,Mon,21-Sep,21:29:38,2015,[Student-notices] Music Instruments outlet by Bhargava's Musik
General Secretary Academic Affairs  PG,GSAA PG,Mon,21-Sep,18:25:16,2015,[Student-notices] Aakash tablet distribution_PG students
General Secretary Hostel Affairs,GSHA,Mon,21-Sep,15:21:00,2015,[Student-notices] DAAD session for UGs
GS Sports,GS Sports,Mon,21-Sep,14:31:05,2015,"[Student-notices] Trip of the Month || Waterfall Rappelling ||	26th & 27th September"
GS Sports,GS Sports,Mon,21-Sep,13:46:30,2015,"[Student-notices] Trip of the Month || Waterfall Rappelling || 26th	& 27th September"
malariasurvey at math.iitb.ac.in,Other,Mon,21-Sep,10:28:05,2015,[Student-notices] 3 mins for a healthy IIT Bombay!!
Office Dean SA,Dean SA,Mon,21-Sep,11:29:39,2015,"[Student-notices] [Fwd: EQ 101: Adjust and Adapt to IITB (Student	Notices)]"
Office of Dean International Relations,Dean IR,Mon,21-Sep,11:00:59,2015,"[Student-notices] Please Register - Invitation: Japan Higher Education Information Day, 24th September, 2015"
General Secretary Hostel Affairs,GSHA,Sun,20-Sep,23:55:53,2015,[Student-notices] Stall for formals in SAC
Insight Chief Editor,Insight Chief-Ed,Sun,20-Sep,21:37:41,2015,[Student-notices] Insight Senior Survey for the Class of 2014
Shubham Goyal,GSAA,Sun,20-Sep,16:22:43,2015,"[Student-notices] Career Cell: Finance club session - Current	Affairs"
Shubham Goyal,GSAA,Sat,19-Sep,23:54:25,2015,[Student-notices] GATE details
General Secretary Hostel Affairs,GSHA,Sat,19-Sep,19:22:23,2015,"[Student-notices] Credit Education Workshop| September 23rd |5:30	pm onwards"
"General Secretary, Cultural Affairs",GS Cult,Sat,19-Sep,18:27:44,2015,[Student-notices] Pro Week : FREE Cultural Professional Workshops | 21st to 25th September
General Secretary Hostel Affairs,GSHA,Sat,19-Sep,16:32:16,2015,[Student-notices] Stall for formals in SAC
GS Sports,GS Sports,Sat,19-Sep,16:25:45,2015,[Student-notices] Badminton Court Booking
Shubham Goyal,GSAA,Sat,19-Sep,14:50:03,2015,"[Student-notices] Inviting all Student Explorers: Tech & RnD	Exposition 2015"
General Secretary Hostel Affairs,GSHA,Sat,19-Sep,13:38:25,2015,[Student-notices] Techfest Zonal Competitions | 20th September
Shubham Goyal,GSAA,Sat,19-Sep,12:50:18,2015,"[Student-notices] Career Cell: Session on Mindset for case	interviews"
Executive Engineer  & Secretary-AAC,Executive AAC,Sat,19-Sep,11:09:42,2015,[Student-notices] Water supply shortage
G.S. Sports,GS Sports,Sat,19-Sep,6:33:12,2015,[Student-notices] Ganpati Tennis Camp
"General Secretary, Cultural Affairs",GS Cult,Sat,19-Sep,3:56:01,2015,[Student-notices] Freshiezza Phase 2 Begins | Day 1: 19th September
"General Secretary, Cultural Affairs",GS Cult,Sat,19-Sep,3:19:49,2015,[Student-notices] Reminder Day 1: PG Cult Phase 1
Shubham Goyal,GSAA,Fri,18-Sep,22:45:12,2015,"[Student-notices] Protolith 2015 || Documentary Series Screening || EARTH: POWER OF THE PLANET || Saturday, 19th September, 26th Spetember, 3rd October || LC 201 || 4PM"
General Secretary Hostel Affairs,GSHA,Fri,18-Sep,20:20:05,2015,"[Student-notices] Startup Weekend in IIT Bombay - 19th and 20th	September"
Executive Electrical,Executive Electrical,Fri,18-Sep,15:45:42,2015,"[Student-notices] Power Shut down notice (Partly Hill side area and Hostel 15, 16 etc)"
"General Secretary, Cultural Affairs",GS Cult,Fri,18-Sep,10:05:57,2015,"[Student-notices] PG Cult Phase One : Cultural Competitions on 18, 19 & 20 September"
Shubham Goyal,GSAA,Fri,18-Sep,3:42:35,2015,"[Student-notices] Student feedback on Proposed rules for Institute	Awards"
General Secretary Hostel Affairs,GSHA,Thu,17-Sep,21:34:33,2015,[Student-notices] GBF invitation
Shubham Goyal,GSAA,Thu,17-Sep,21:23:11,2015,"[Student-notices] Career Cell: Current Trends in Global market |	Finance Club Session"
General Secretary Academic Affairs  PG,GSAA PG,Thu,17-Sep,15:25:17,2015,"[Student-notices] Call for Nominations for Academic Council Coordinators (ACC), PG Academic Council"
GS Sports,GS Sports,Thu,17-Sep,13:05:34,2015,[Student-notices] [Reminder] Karate Classes from 18th september
General Secretary Hostel Affairs,GSHA,Thu,17-Sep,10:42:30,2015,[Student-notices] Temporary shifting of Gulmohar Garden Cafeteria
General Secretary Hostel Affairs,GSHA,Thu,17-Sep,10:39:18,2015,[Student-notices] Extension of Delivery from vendors
"General Secretary, Cultural Affairs",GS Cult,Wed,16-Sep,21:36:54,2015,"[Student-notices] Freshiezza Phase 2 | 19th, 20th Sep in SAC"
Office of Dean International Relations,Dean IR,Wed,16-Sep,17:50:58,2015,"[Student-notices] Invitation: Japan Higher Education Information Day, 24th September, 2015"
Executive Electrical,Executive Electrical,Wed,16-Sep,17:44:44,2015,"[Student-notices] Power Shut down notice  (Aero,Bio-science old)"
PRO IIT Bombay,PRO,Wed,16-Sep,17:23:02,2015,[Student-notices] Invite - Professor C.N.R. Rao Lecture Series on Nanoscience and Nanotechnology
Executive Electrical,Executive Electrical,Wed,16-Sep,9:11:58,2015,[Student-notices] POWER SHUTDOWN NOTICE OF MECHANICAL ENGG DEPT
GS Sports,GS Sports,Wed,16-Sep,3:28:59,2015,"[Student-notices] IIT Bombay Cycling || Ride to Karnala Bird	Sanctuary || 19th September"
General Secretary Hostel Affairs,GSHA,Wed,16-Sep,1:16:17,2015,[Student-notices] Self-Defense Workshop
Systems Manager,Other,Wed,16-Sep,0:43:54,2015,[Student-notices] Mosquito Problems in the Campus
PRO IIT Bombay,PRO,Tue,15-Sep,17:52:56,2015,[Student-notices] Launch of National Center fo Excellence in Technology for Internal Security (NCETIS)
Office Dean Academic,Dean Acad,Tue,15-Sep,17:27:25,2015,[Student-notices] JAM 2015 Circular
"General Secretary, Cultural Affairs",GS Cult,Tue,15-Sep,15:05:24,2015,"[Student-notices] Hindi Wordgames GC | 17 September,	9:30 PM | LH 101"
"General Secretary, Cultural Affairs",GS Cult,Tue,15-Sep,14:40:02,2015,[Student-notices] Photography General Championship 2015
GS Sports,GS Sports,Tue,15-Sep,14:33:01,2015,[Student-notices] Court availability on 15/09/15
Executive Electrical,Executive Electrical,Tue,15-Sep,11:53:51,2015,"[Student-notices] Power Shut down notice  (Hostel-1, 15, 16, SAC,	NCC )"
IITB Mailing List Manager,Mailman,Tue,15-Sep,6:00:02,2015,"[Student-notices] Methodology for getting/setting mailing list	passwords"
Shubham Goyal,GSAA,Tue,15-Sep,2:31:27,2015,[Student-notices] Resume making workshop: Sophomores
GS Sports,GS Sports,Tue,15-Sep,1:49:15,2015,[Student-notices] Real Life Self Defense Workshop
STAB Overall Coordinator,GS Tech,Tue,15-Sep,0:52:57,2015,[Student-notices] Engineers' Day: Where are our Tech rooms?
Shubham Goyal,GSAA,Mon,14-Sep,21:11:11,2015,[Student-notices] Social: Final Call for Abhyasika Volunteers
General Secretary Academic Affairs  PG,GSAA PG,Mon,14-Sep,19:21:24,2015,[Student-notices] MHRD PhD fellowship extended to 5 years
Shubham Goyal,GSAA,Mon,14-Sep,18:07:24,2015,"[Student-notices] Engineering an Engineer: Celebrating Engineer's	Day"
PRO IIT Bombay,PRO,Mon,14-Sep,17:51:33,2015,"[Student-notices] Invite - Institute Colloquium on October 13, 2015"
Dr Jyoti Prasad Maharana,Other,Mon,14-Sep,17:03:20,2015,"[Student-notices] Software at CC (Update Sep 14, 2015)"
"Professor-In-Charge, Placement",PIC Placements,Mon,14-Sep,17:01:39,2015,"[Student-notices] Placements: Deadline Extension - Call for Nominations of Associate Placement Coordinators - Placement Cell, IIT Bombay (September 18)"
Shubham Goyal,GSAA,Mon,14-Sep,16:46:01,2015,[Student-notices] Opportunities after GATE for MSc students
"General Secretary, Cultural Affairs",GS Cult,Mon,14-Sep,14:22:04,2015,"[Student-notices] PG Cult Phase One : Cultural Competitions on 18,	19 & 20 September"
General Secretary Hostel Affairs,GSHA,Mon,14-Sep,14:19:49,2015,[Student-notices] [Fwd: Candle March for Aniket Ambhore]
PRO IIT Bombay,PRO,Mon,14-Sep,13:07:01,2015,[Student-notices] Media Cell nominations
GS Sports,GS Sports,Mon,14-Sep,2:39:13,2015,[Student-notices] Booking of Badminton Courts
"General Secretary, Cultural Affairs",GS Cult,Mon,14-Sep,2:23:10,2015,"[Student-notices] Satyashodak,	Play in Kannada | Life of Mahatma Jyotiba Phule"
GS Sports,GS Sports,Mon,14-Sep,1:56:47,2015,[Student-notices] Karate Classes from 18th september
General Secretary Academic Affairs  PG,GSAA PG,Sun,13-Sep,15:26:44,2015,"[Student-notices] [PG] Reminder || English language workshops for	the PGs"
General Secretary Academic Affairs  PG,GSAA PG,Sat,12-Sep,22:41:01,2015,[Student-notices] Beginner's workshops on LaTeX and MATLAB
General Secretary Academic Affairs  PG,GSAA PG,Sat,12-Sep,22:10:57,2015,"[Student-notices] Talk on ""The Ph.D. Journey"" by Prof. Krithi Ramamritham on Tuesday, 15th September 2015, 6.45 pm, LH 101"
Shubham Goyal,GSAA,Sat,12-Sep,11:54:16,2015,[Student-notices] Career Cell: Session on Sports Analysis
GS Sports,GS Sports,Sat,12-Sep,3:44:14,2015,"[Student-notices] Quest- Volleyball (2015) || 51st Inter-IIT Sports	Meet"
Security Officer,CSO,Fri,11-Sep,17:22:10,2015,[Student-notices] Lost and Found - Mobile Phone
Executive Electrical,Executive Electrical,Fri,11-Sep,17:05:04,2015,"[Student-notices] Power shut down notice  Gulmour, Vanvihar,	Hospital area"
Executive Electrical,Executive Electrical,Fri,11-Sep,10:47:03,2015,"[Student-notices] Power Shut down notice  (N-1, N-2, N-3, N-4 Bays , THTF Lighting, Heat TFR lab, IDC)"
General Secretary Hostel Affairs,GSHA,Thu,10-Sep,19:49:17,2015,[Student-notices] US University Fair
General Secretary Academic Affairs  PG,GSAA PG,Thu,10-Sep,0:01:48,2015,[Student-notices] Aakash tablet distribution_PG students_Phase 1
Executive Electrical,Executive Electrical,Wed,09-Sep,17:13:10,2015,[Student-notices] POWER SHUTDOWN NOTICE OF CIVIL ENGG DEPT
Office Dean Academic,Dean Acad,Wed,09-Sep,15:28:32,2015,[Student-notices] Circular of NHFDC scholarship
Dean Student Affairs,Dean SA,Wed,09-Sep,10:23:45,2015,[Student-notices] Policy regarding Animals in hostels
General Secretary Hostel Affairs,GSHA,Tue,08-Sep,19:15:20,2015,[Student-notices] Coffee shack
Insight Chief Editor,Insight Chief-Ed,Tue,08-Sep,17:49:10,2015,[Student-notices] We're doing a survey on porn
Security Officer,CSO,Tue,08-Sep,12:08:28,2015,"[Student-notices] UK minister visit on September 9, 2015"
Shubham Goyal,GSAA,Tue,08-Sep,11:25:32,2015,[Student-notices] Tagging Window Deadline
Dean Student Affairs,Dean SA,Tue,08-Sep,8:04:25,2015,[Student-notices] Narotam Sekhsaria Scholarships for Undergraduate Studies in Engineering for the academic year 2015-16.
PRO IIT Bombay,PRO,Mon,07-Sep,17:09:44,2015,"[Student-notices] Reminder - Interaction with Rt Hon Lord Francis Maude, UK Minister of State for Trade & Investment]"
Shubham Goyal,GSAA,Mon,07-Sep,11:53:50,2015,[Student-notices] Additional Study Rooms for Midsem Prep
Office Dean Academic,Dean Acad,Mon,07-Sep,11:10:01,2015,[Student-notices] Summer Course MA 105 seating plan (UG Students)
General Secretary Hostel Affairs,GSHA,Sun,06-Sep,3:14:01,2015,"[Student-notices] Alumni Student Mentorship Program Student	Registrations"
STAB Overall Coordinator,GS Tech,Sat,05-Sep,11:12:02,2015,[Student-notices] RC Plane Competition: Come and Get high!
Shubham Goyal,GSAA,Sat,05-Sep,10:06:26,2015,"[Student-notices] Tagging window: Stress on administration and	possible repercussions"
General Secretary Hostel Affairs,GSHA,Sat,05-Sep,0:44:22,2015,[Student-notices] Mid sem preparation
GS Sports,GS Sports,Fri,04-Sep,20:14:22,2015,"[Student-notices] National Cycling Day || ""I Ride With India"""
PRO IIT Bombay,PRO,Fri,04-Sep,18:38:58,2015,"[Student-notices] Invite - Interaction with Rt Hon Lord Francis Maude, UK Minister of State for Trade & Investment"
Executive Electrical,Executive Electrical,Fri,04-Sep,16:34:22,2015,"[Student-notices] Power Shut down notice  (N-1, N-2, N-3 Bay all labs, THTF Lighting, Heat TFR lab)"
Shubham Goyal,GSAA,Fri,04-Sep,15:38:31,2015,[Student-notices] TSC: Midsem Preparatory Help Sessions (UG's)
InsIghT Chief Editor,Insight Chief-Ed,Fri,04-Sep,0:09:14,2015,[Student-notices] The UG-PG divide
GS Sports,GS Sports,Thu,03-Sep,23:36:52,2015,[Student-notices] 100 Days to Go || 51st Inter-IIT Sports Meet
General Secretary Hostel Affairs,GSHA,Thu,03-Sep,22:23:02,2015,[Student-notices] Campus Book Donation Drive
Executive Electrical,Executive Electrical,Thu,03-Sep,18:00:43,2015,"[Student-notices] Power Shut down notice  (Liquid helium, I C Engine, Thermal lab, UG/PG Lab etc)"
PRO IIT Bombay,PRO,Thu,03-Sep,17:43:00,2015,"[Student-notices] Invite - Interaction with Rt Hon Lord Francis Maude, UK Minister of State & Investment"
malariasurvey at math.iitb.ac.in,Other,Thu,03-Sep,10:49:46,2015,[Student-notices] 3 mins for a healthy IIT Bombay!!
"Dean, Academic Programmes, IIT Bombay",Dean AP,Thu,03-Sep,11:39:47,2015,"[Student-notices] Classes on September 4, 2015"
GS Sports,GS Sports,Thu,03-Sep,0:02:45,2015,"[Student-notices] [Registrations Closed] Adventure Club || Trek to	Mt. Kalsubai, 13th September"
Shubham Goyal,GSAA,Wed,02-Sep,19:52:25,2015,"[Student-notices] Study Rooms availability for Mid-Semester Exam	Preparations"
PRO IIT Bombay,PRO,Wed,02-Sep,17:32:02,2015,[Student-notices] Reminder - Teacher's Day 2015
General Secretary Academic Affairs  PG,GSAA PG,Wed,02-Sep,15:45:17,2015,"[Student-notices] Submission of ""UNDERTAKING"" for PG students enrolled through scores of GATE-2015"
"General Secretary, Cultural Affairs",GS Cult,Wed,02-Sep,5:33:35,2015,"[Student-notices] Sophie Films Screening || LT-PCSA || 2nd	September || 8:30 PM"
General Secretary Hostel Affairs,GSHA,Wed,02-Sep,3:03:43,2015,[Student-notices] Techfest Coordinators' Meet | 08:00 PM | OAT
General Secretary Academic Affairs  PG,GSAA PG,Tue,01-Sep,23:21:31,2015,[Student-notices] [PG] English language workshops for the PGs
Dean (Alumni & Corporate Relations),Dean ACR,Tue,01-Sep,22:28:07,2015,[Student-notices] Dean ACR Office Newsletter - September 2015
GS Sports,GS Sports,Tue,01-Sep,20:46:54,2015,"[Student-notices] [Reminder] Contingent Leader,	51st Inter IIT Sports Meet || Call for Nominations"
Office Dean Academic,Dean Acad,Tue,01-Sep,17:15:11,2015,[Student-notices] Course evaluation for half-sem courses
Office Dean ACR,Dean ACR,Tue,01-Sep,12:46:41,2015,[Student-notices] Reminder : Inviting Projects for Autumn Phase of Indira Foundation Funded Projects
GS Sports,GS Sports,Tue,01-Sep,10:33:15,2015,[Student-notices] Girls' Sports GC Format 2015-16
Dean (R&D) IITB,Dean R&D,Tue,01-Sep,9:58:24,2015,[Student-notices] FW: THE NHRDN – PROF RAM CHARAN YOUNG HR ICON AWARDS - 2015
GS Sports,GS Sports,Tue,01-Sep,8:36:28,2015,"[Student-notices] Adventure Club || Trek to Mt. Kalsubai,	13th September"
IITB Mailing List Manager,Mailman,Tue,01-Sep,6:00:02,2015,"[Student-notices] Methodology for getting/setting mailing list	passwords"
General Secretary Hostel Affairs,GSHA,Mon,31-Aug,22:05:06,2015,[Student-notices] Stall for formals in SAC
Shubham Goyal,GSAA,Mon,31-Aug,21:51:44,2015,"[Student-notices] Fwd: Interest group of NIT/IIT/IIM alumni/	students from Uttar Pradesh"
General Secretary Hostel Affairs,GSHA,Mon,31-Aug,20:09:58,2015,[Student-notices] German Movie screening |  2nd September
GS Sports,GS Sports,Mon,31-Aug,19:50:05,2015,"[Student-notices] Fresher & Sophomore Cross Country || 1st	September || SAC Entrance"
Office of Dean International Relations,Dean IR,Mon,31-Aug,18:28:17,2015,"[Student-notices] “Opportunities for Start-Ups in a Smart City"" - Interac  tive session with Mr. Zohar Sharon , Chief Knowledge Officer, Smart City Tel Aviv"
Office Dean Academic,Dean Acad,Mon,31-Aug,15:35:19,2015,[Student-notices] Tagging window will be open from 01/09/15
General Secretary Academic Affairs  PG,GSAA PG,Mon,31-Aug,14:55:45,2015,"[Student-notices] [UG+PG] Reminder||Six sigma green belt	certification program]"
Security Officer,CSO,Mon,31-Aug,12:17:08,2015,"[Student-notices] Lost & found: Mobile, Debit Card & RC card"
Security Officer,CSO,Mon,31-Aug,12:13:33,2015,[Student-notices] Lost & found: Debit Card & RC card
Shubham Goyal,GSAA,Mon,31-Aug,9:51:57,2015,"[Student-notices] Fwd: Interest group of NIT/IIT/IIM alumni/	students from Uttar Pradesh"
"General Secretary, Cultural Affairs",GS Cult,Mon,31-Aug,1:33:38,2015,[Student-notices] Sophie Dance League Performances || LT PCSA || 31st August || 7:30 PM
STAB Overall Coordinator,GS Tech,Sun,30-Aug,22:54:06,2015,[Student-notices] Physics Detective: Experiments
Shubham Goyal,GSAA,Sun,30-Aug,21:12:47,2015,"[Student-notices] Fundae Talks for Freshers: Balancing Acads &	Extra-Currics"
Shubham Goyal,GSAA,Sun,30-Aug,15:32:33,2015,"[Student-notices] Career Cell: ShARE- Invitation to participate in	""Paisa Parliament Policy"""
"General Secretary, Cultural Affairs",GS Cult,Sun,30-Aug,6:20:56,2015,[Student-notices] Freshiezza Phase 1 : Day 2 Begins
General Secretary Hostel Affairs,GSHA,Sun,30-Aug,3:34:38,2015,[Student-notices] Eateries Review
Shubham Goyal,GSAA,Sat,29-Aug,22:12:42,2015,[Student-notices] First Year UG students: TA feedback portal
Shubham Goyal,GSAA,Sat,29-Aug,10:02:41,2015,"[Student-notices] Social: Inviting Volunteers for Career	Counselling Campaign"
Associate Dean Academic,ADean Acad,Fri,28-Aug,12:00:14,2015,"[Student-notices] rules and regulations in dealing with academic	malpractices"
"General Secretary, Cultural Affairs",GS Cult,Fri,28-Aug,21:36:11,2015,"[Student-notices] Freshiezza Phase 1 Instructions | DAY 1 & 2 -	29th & 30th August"
GS Sports,GS Sports,Fri,28-Aug,20:55:19,2015,"[Student-notices] [Reminder] IITB Cycling || Ride to Madh Fort ||	30th August"
Shubham Goyal,GSAA,Fri,28-Aug,19:41:28,2015,"[Student-notices] [Reminder] Career Cell: Consult Club-	Introduction to Case Solving Prep"
PRO IIT Bombay,PRO,Fri,28-Aug,17:35:50,2015,[Student-notices] Invite - Teacher's Day 2015
"General Secretary, Cultural Affairs",GS Cult,Fri,28-Aug,17:12:06,2015,"[Student-notices] Cancellation of Screening of documentary ""Muzaffarnagar Baaqi Hai"" || 28th August(Today) || 8:00 PM || LC101"
Security Officer,CSO,Fri,28-Aug,14:33:10,2015,[Student-notices] Lost & Found: ICICI Bank credit card
Office Dean Rnd,Dean R&D,Fri,28-Aug,14:23:41,2015,[Student-notices] Announcement of the Dr. P K Patwardhan Technology Development Award 2014
General Secretary Academic Affairs  PG,GSAA PG,Fri,28-Aug,13:54:01,2015,[Student-notices] Aakash tablet distribution_PG students
Office Dean ACR,Dean ACR,Fri,28-Aug,12:46:37,2015,[Student-notices] Inviting Projects for Autumn Phase of Indira Foundation Funded Projects
GS Sports,GS Sports,Fri,28-Aug,12:45:50,2015,"[Student-notices] Reminder- [Documentary Screening] ""Hockey in My Blood"" || 28th August in PCSA at 7pm"
GS Sports,GS Sports,Fri,28-Aug,12:21:36,2015,[Student-notices] Booking of Badminton Courts
Associate Dean Academic,ADean Acad,Fri,28-Aug,11:31:05,2015,"[Student-notices] [Fwd: URGENT: Request to circulate notice to our students, for TAship under T10KT project]"
GS Sports,GS Sports,Fri,28-Aug,10:59:26,2015,"[Student-notices] National Sports Day || Sports Carnival || 29th	August"
"General Secretary, Cultural Affairs",GS Cult,Fri,28-Aug,8:58:48,2015,"[Student-notices] Freshiezza Phase 1 Begins | 28, 29, 30th August | DAY 0 : The Scavenger Hunt"
"General Secretary, Cultural Affairs",GS Cult,Fri,28-Aug,8:20:02,2015,"[Student-notices] Screening of documentary ""Muzaffarnagar Baaqi Hai"" || 28th August(Today) || 8:00 PM || LC101"
GS Sports,GS Sports,Fri,28-Aug,4:00:21,2015,"[Student-notices] National Sports Day || Sports Carnival || 29th	August, 3pm onwards"
GS Sports,GS Sports,Thu,27-Aug,18:21:34,2015,[Student-notices] Mixed Sport of the month || Volleyball
Office of Dean International Relations,Dean IR,Thu,27-Aug,16:40:29,2015,"[Student-notices] “Opportunities for Start-Ups in a Smart City"" - Interac  tive session with Mr. Zohar Sharon , Chief Knowledge Officer, Smart City Tel Aviv"
Shubham Goyal,GSAA,Thu,27-Aug,15:00:39,2015,"[Student-notices] Career Cell: Consult Club session- Introduction	to Case Solving Prep"
GS Sports,GS Sports,Thu,27-Aug,13:15:42,2015,"[Student-notices] [Documentary Screening] ""Hockey in My Blood"" || 28th August in PCSA at 7pm"
G.S. Sports,GS Sports,Thu,27-Aug,6:51:50,2015,"[Student-notices] Contingent Leader, 51st Inter IIT Sports Meet || Call for Nominations"
Shubham Goyal,GSAA,Wed,26-Aug,22:24:03,2015,[Student-notices] [Reminder]: Stress Management Workshop
General Secretary Academic Affairs  PG,GSAA PG,Wed,26-Aug,22:19:52,2015,[Student-notices] PhD at FU Berlin and TU Munich
General Secretary Academic Affairs  PG,GSAA PG,Wed,26-Aug,21:59:01,2015,"[Student-notices] [UG+PG] Six sigma green belt certification	program"
Shubham Goyal,GSAA,Wed,26-Aug,21:12:51,2015,[Student-notices] CS 101 and BB 101 Help Sessions
General Secretary Academic Affairs  PG,GSAA PG,Wed,26-Aug,20:42:51,2015,[Student-notices] [UG+PG] Six sigma green belt certification program
Security Officer,CSO,Wed,26-Aug,12:57:54,2015,[Student-notices] Lost & Found 'Mobile Phone'
"Professor-In-Charge, Placement",PIC Placements,Tue,25-Aug,20:04:46,2015,[Student-notices] Placements: Call for Nominations for Associate Placement Coordinators
PRO IIT Bombay,PRO,Tue,25-Aug,18:17:06,2015,"[Student-notices] Reminder - GL Mehta Memorial Lecture on August 26,	2015"
Shubham Goyal,GSAA,Tue,25-Aug,18:09:06,2015,"[Student-notices] Expert Talk: What can engineers do to crack the	mysteries of brain?"
Office Dean ACR,Dean ACR,Tue,25-Aug,16:59:12,2015,"[Student-notices] Application for MidasBlue's annual scholarship	program"
"General Secretary, Cultural Affairs",GS Cult,Tue,25-Aug,15:58:49,2015,"[Student-notices] Institute Salsa Night | InSync Introductory	Session on 26th August"
General Secretary Hostel Affairs,GSHA,Tue,25-Aug,0:01:51,2015,"[Student-notices] Pre allocation of UG 1st year students in H15 and	16"
GS Sports,GS Sports,Mon,24-Aug,21:24:37,2015,[Student-notices] IITB Cycling || Ride to Madh Fort || 30th August
Office Dean SA,Dean SA,Mon,24-Aug,18:35:36,2015,[Student-notices] Stress Management Workshop August
General Secretary Academic Affairs  PG,GSAA PG,Mon,24-Aug,17:11:10,2015,[Student-notices] Talk on 'Effective Knowledge Discovery in Digital Library' by Mr. Manju Naika
Librarian IIT Bombay,Librarian,Mon,24-Aug,12:01:14,2015,[Student-notices] Online Grammar - Checking Tool
STAB Overall Coordinator,GS Tech,Mon,24-Aug,11:51:07,2015,"[Student-notices] UAV(Drones) Design and Introduction of Team	Rakshak"
General Secretary Hostel Affairs,GSHA,Sun,23-Aug,21:48:20,2015,[Student-notices] Session on DAAD Scholarships
"General Secretary, Cultural Affairs",GS Cult,Sun,23-Aug,18:26:05,2015,"[Student-notices] Sophie Prod 15' | 7 PM Onwards - 24th,	25th August | LT PCSA"
Shubham Goyal,GSAA,Sun,23-Aug,10:52:45,2015,"[Student-notices] Career Cell: Finance Club brings you ""The Future	at Work"""
Shubham Goyal,GSAA,Sat,22-Aug,22:42:21,2015,[Student-notices] Tutorial Service Centre Help sessions
GS Sports,GS Sports,Sat,22-Aug,18:02:35,2015,"[Student-notices] Monsoon Runs | Sunday, 23rd Aug | 5:30 pm | SAC"
GS Sports,GS Sports,Sat,22-Aug,14:39:53,2015,[Student-notices] Booking of Badminton Courts
Shubham Goyal,GSAA,Sat,22-Aug,12:21:14,2015,[Student-notices] Career Cell: Internship Readiness Session
STAB Overall Coordinator,GS Tech,Fri,21-Aug,23:45:33,2015,"[Student-notices] HUL presents TechSpark - an inter-IIT technical	competition"
GS Sports,GS Sports,Fri,21-Aug,23:15:38,2015,[Student-notices] Quest-2015 || Inter-IIT Badminton Trials
Shubham Goyal,GSAA,Fri,21-Aug,22:40:43,2015,"[Student-notices] Reminder: Call for Coders & Programmers || Revamp	of Department Websites"
"General Secretary, Cultural Affairs",GS Cult,Fri,21-Aug,21:11:21,2015,"[Student-notices] English Creative Writing GC | 22nd August,	8 PM | LH 101"
GS Sports,GS Sports,Fri,21-Aug,18:29:27,2015,[Student-notices] Adventure Club || Rappelling Workshop on 23rd Aug
Security Officer,CSO,Fri,21-Aug,18:17:24,2015,[Student-notices] Vehicle without IITB sticker parked on road
Registrar IIT Bombay,Registrar,Fri,21-Aug,15:39:10,2015,[Student-notices] Holidays to be observed in year 2016
Executive Electrical,Executive Electrical,Fri,21-Aug,15:08:55,2015,[Student-notices] POWER SHUTDOWN NOTICE OF MECHANICAL ENGG DEPT
